idx,split,target_type,attractors,condition,subject_word_sg,subject_word_pl,target_word_sg,target_word_pl,base_sentence_sg,base_sentence_pl,good_singular,bad_singular,good_plural,bad_plural,tok_len_sg,tok_len_pl
0,train,verb,0,target_verb_att0_opp,puppy,puppies,roots,root,The mature puppy,The mature puppies,The mature puppy roots,The mature puppy root,The mature puppies root,The mature puppies roots,4,4
1,train,verb,0,target_verb_att0_opp,bear,bears,lowers,lower,The fast bear,The fast bears,The fast bear lowers,The fast bear lower,The fast bears lower,The fast bears lowers,4,4
2,train,verb,0,target_verb_att0_opp,dog,dogs,rotates,rotate,The blue dog,The blue dogs,The blue dog rotates,The blue dog rotate,The blue dogs rotate,The blue dogs rotates,4,4
3,train,verb,0,target_verb_att0_opp,dolphin,dolphins,shelters,shelter,The joyful dolphin,The joyful dolphins,The joyful dolphin shelters,The joyful dolphin shelter,The joyful dolphins shelter,The joyful dolphins shelters,4,4
4,train,verb,0,target_verb_att0_opp,seal,seals,hunts,hunt,The cool seal,The cool seals,The cool seal hunts,The cool seal hunt,The cool seals hunt,The cool seals hunts,4,4
5,train,verb,0,target_verb_att0_opp,bear,bears,advances,advance,The blue bear,The blue bears,The blue bear advances,The blue bear advance,The blue bears advance,The blue bears advances,4,4
6,train,verb,0,target_verb_att0_opp,bat,bats,laps,lap,The fierce bat,The fierce bats,The fierce bat laps,The fierce bat lap,The fierce bats lap,The fierce bats laps,4,4
7,train,verb,0,target_verb_att0_opp,bear,bears,wakes,wake,The brisk bear,The brisk bears,The brisk bear wakes,The brisk bear wake,The brisk bears wake,The brisk bears wakes,4,4
8,train,verb,0,target_verb_att0_opp,calf,calves,reads,read,The merry calf,The merry calves,The merry calf reads,The merry calf read,The merry calves read,The merry calves reads,4,4
9,train,verb,0,target_verb_att0_opp,kit,kits,grabs,grab,The quiet kit,The quiet kits,The quiet kit grabs,The quiet kit grab,The quiet kits grab,The quiet kits grabs,4,4
10,train,verb,0,target_verb_att0_opp,dog,dogs,rests,rest,The bold dog,The bold dogs,The bold dog rests,The bold dog rest,The bold dogs rest,The bold dogs rests,4,4
11,train,verb,0,target_verb_att0_opp,puppy,puppies,streams,stream,The noisy puppy,The noisy puppies,The noisy puppy streams,The noisy puppy stream,The noisy puppies stream,The noisy puppies streams,4,4
12,train,verb,0,target_verb_att0_opp,pup,pups,clears,clear,The fierce pup,The fierce pups,The fierce pup clears,The fierce pup clear,The fierce pups clear,The fierce pups clears,4,4
13,train,verb,0,target_verb_att0_opp,spider,spiders,reels,reel,The quick spider,The quick spiders,The quick spider reels,The quick spider reel,The quick spiders reel,The quick spiders reels,4,4
14,train,verb,0,target_verb_att0_opp,monitor,monitors,hunts,hunt,The hot monitor,The hot monitors,The hot monitor hunts,The hot monitor hunt,The hot monitors hunt,The hot monitors hunts,4,4
15,train,verb,0,target_verb_att0_opp,pup,pups,waits,wait,The sad pup,The sad pups,The sad pup waits,The sad pup wait,The sad pups wait,The sad pups waits,4,4
16,train,verb,0,target_verb_att0_opp,dolphin,dolphins,hunts,hunt,The strong dolphin,The strong dolphins,The strong dolphin hunts,The strong dolphin hunt,The strong dolphins hunt,The strong dolphins hunts,4,4
17,train,verb,0,target_verb_att0_opp,ray,rays,flows,flow,The mighty ray,The mighty rays,The mighty ray flows,The mighty ray flow,The mighty rays flow,The mighty rays flows,4,4
18,train,verb,0,target_verb_att0_opp,puppy,puppies,leaps,leap,The hairy puppy,The hairy puppies,The hairy puppy leaps,The hairy puppy leap,The hairy puppies leap,The hairy puppies leaps,4,4
19,train,verb,0,target_verb_att0_opp,whale,whales,rolls,roll,The weak whale,The weak whales,The weak whale rolls,The weak whale roll,The weak whales roll,The weak whales rolls,4,4
20,train,verb,0,target_verb_att0_opp,cat,cats,drops,drop,The wide cat,The wide cats,The wide cat drops,The wide cat drop,The wide cats drop,The wide cats drops,4,4
21,train,verb,0,target_verb_att0_opp,spider,spiders,reads,read,The tame spider,The tame spiders,The tame spider reads,The tame spider read,The tame spiders read,The tame spiders reads,4,4
22,train,verb,0,target_verb_att0_opp,dolphin,dolphins,spins,spin,The fierce dolphin,The fierce dolphins,The fierce dolphin spins,The fierce dolphin spin,The fierce dolphins spin,The fierce dolphins spins,4,4
23,train,verb,0,target_verb_att0_opp,bear,bears,rotates,rotate,The massive bear,The massive bears,The massive bear rotates,The massive bear rotate,The massive bears rotate,The massive bears rotates,4,4
